O que a Derivada representa graficamente e fisicamente?;\(\text{A inclinação da reta tangente em um ponto, ou a Taxa de Mudança Instantânea "agora" daquele sistema.}\)
Como é definida a corrente elétrica \(I\) em relação à carga elétrica \(Q\)?;\(I = \frac{dQ}{dt}\)
Comportamento diferencial num Capacitor (relação Tensão-Corrente);\(I = C \frac{dV}{dt} \ (\text{A corrente depende da vel. de variação da tensão})\)
Comportamento diferencial num Indutor (relação Tensão-Corrente);\(V = L \frac{dI}{dt} \ (\text{A tensão gerada opõe-se à vel. de variação da corrente})\)
Em um comportamento RC, quando o Capacitor atinge a Tensão Máxima (\(dV/dt = 0\)), qual é a corrente gerada?;\(I = 0 \ (\text{O capacitor age como circuito aberto})\)
O que ocorre num circuito quando \(\frac{dP}{dR_L} = 0\)?;\(\text{Ponto de Máxima Transferência de Potência (geralmente } R_L = R_{th}\text{)}\)
Fórmula de Taylor de 1ª Ordem (Linearização Básica ao redor de \(a\));\(f(x) \approx f(a) + f'(a)(x-a)\)
Para que serve a Linearização de Taylor na Engenharia?;\(\text{Para criar "modelos de pequenos sinais" em componentes não lineares (como Diodos e Transistores), assumindo que perto do Ponto de Operação a curva se comporta como uma reta.}\)
Série de Maclaurin para exponencial \(e^x\);\(\sum_{n=0}^{\infty} \frac{x^n}{n!} = 1 + x + \frac{x^2}{2!} + \dots\)
Série de Maclaurin para o seno \(\sin(x)\);\(\sum_{n=0}^{\infty} \frac{(-1)^n x^{2n+1}}{(2n+1)!} = x - \frac{x^3}{3!} + \dots\)
Série de Maclaurin para o cosseno \(\cos(x)\);\(\sum_{n=0}^{\infty} \frac{(-1)^n x^{2n}}{(2n)!} = 1 - \frac{x^2}{2!} + \dots\)
Aproximação de Maclaurin para Exponenciais (\(x \ll 1\));\(e^x \approx 1 + x\)
Aproximação de Maclaurin para Seno de pequenos ângulos (\(x \ll 1\));\(\sin(x) \approx x\)
Aproximação de Maclaurin para Cosseno de pequenos ângulos (\(x \ll 1\));\(\cos(x) \approx 1\)
Aproximação de Binômio Negativo e Raízes Quadradas (\(x \ll 1\));\((1+x)^n \approx 1 + nx\)
Como calcular a carga total \(Q\) a partir de uma corrente variável \(i(t)\)?;\(Q = \int_0^T i(t)\, dt \text{ (a integral da corrente no tempo é a carga acumulada)}\)
Fórmula da energia armazenada num capacitor via integral;\(E = \int_0^V C \cdot v\, dv = \frac{1}{2}CV^2\)
Fórmula da energia armazenada num indutor via integral;\(E = \int_0^I L \cdot i\, di = \frac{1}{2}LI^2\)
Como calcular o valor RMS de um sinal periódico \(v(t)\)?;\(V_{\text{RMS}} = \sqrt{\frac{1}{T}\int_0^T v(t)^2\, dt}\)
O valor RMS de \(V_p \sin(\omega t)\) é...;\(\frac{V_p}{\sqrt{2}} \approx 0{,}707 \cdot V_p\)
O que o valor médio da derivada sobre um período completo de sinal AC nos diz?;\(\text{É zero. Por isso corrente AC não transfere carga líquida — a integral de } \sin(\omega t) \text{ sobre um período é nula.}\)
