Qual o análogo elétrico da massa (inércia)?;\(\text{Indutor } (L)\text{. Assim como } F = ma\text{, o indutor resiste à mudança de corrente: } V = L\frac{dI}{dt}\text{.}\)
Qual o análogo elétrico da mola (constante \(k\))?;\(\text{Capacitor } (C)\text{. Ambos armazenam energia potencial: } \frac{1}{2}kx^2 \leftrightarrow \frac{1}{2}CV^2\text{.}\)
Qual o análogo elétrico do atrito viscoso?;\(\text{Resistor } (R)\text{. Ambos dissipam energia irreversivelmente como calor, amortecendo oscilações.}\)
Como a Lei de Lenz é análoga à 3ª Lei de Newton?;\(\text{A FEM induzida sempre se opõe à variação de fluxo que a gerou — reação oposta à ação magnética.}\)
Conversão RPM → velocidade angular \(\omega\);\(\omega = \text{RPM} \times \frac{2\pi}{60} \text{ (rad/s)}\)
Equação de potência mecânica rotativa;\(P = \tau \cdot \omega \text{ (Potência = Torque × Velocidade Angular)}\)
Analogia de circuitos térmicos: quem faz o papel de V, I e R?;\(\Delta T \leftrightarrow V\text{, } P_{\text{dissipada}} \leftrightarrow I\text{, } R_{th} \leftrightarrow R\)
Cálculo da temperatura de junção \(T_j\) com dissipador;\(T_j = T_{\text{amb}} + P_{\text{diss}} \times R_{th(\text{total})}\)
Por que dissipadores possuem aletas?;\(\text{Aumentam a área de contato com o ar, reduzindo } R_{th} \text{ entre componente e ambiente.}\)
Energia cinética armazenada em um volante de inércia (flywheel);\(E = \frac{1}{2}I\omega^2 \text{ (análogo a } \frac{1}{2}LI^2 \text{ no indutor)}\)
Para que servem volantes de inércia em motores e geradores?;\(\text{Suavizar variações de velocidade (ripple mecânico), armazenando e liberando energia rotacional.}\)
Definição de rendimento (eficiência) \(\eta\);\(\eta = \frac{P_{\text{saída}}}{P_{\text{entrada}}} \times 100\%\)
Eficiência de Carnot — limite teórico de máquinas térmicas;\(\eta_{\text{Carnot}} = 1 - \frac{T_{\text{fria}}}{T_{\text{quente}}} \text{ (temperaturas em Kelvin)}\)
Por que a eficiência de Carnot é relevante para engenharia elétrica?;\(\text{Define o teto de conversão térmica→elétrica em usinas. Quanto maior } \Delta T\text{, maior a eficiência máxima.}\)
Analogia entre ressonância mecânica e elétrica;\(\text{Mec: } \omega_0 = \sqrt{k/m}\text{. Elét: } \omega_0 = 1/\sqrt{LC}\text{. Em ambos, energia oscila entre duas formas (cinética↔potencial / magnética↔elétrica).}\)
O que causa vibração excessiva em máquinas rotativas?;\(\text{Desbalanceamento mecânico ou operação próxima da frequência natural (ressonância). Pode danificar rolamentos.}\)
Relação torque-corrente em motor DC;\(\tau = K_t \cdot I_a \text{ (torque proporcional à corrente de armadura, com constante } K_t\text{)}\)
